:1763
Jacki Weaver:2616
Lymari Nadal:6013
Paul McGill:1691
Ta'Rhonda Jones:1518
James Le Gros:5642
Cara Delevingne:745
Alex Karpovsky:5170
Tyra Banks:2422
Reda Kateb:3238
Sean Maher:2503
Dorothy Lyman:5977
Denis Lavant:390
Jack Elam:5482
Julie Kavner:2987
Brian Austin Green:1628
Carol Block:1948
Omar Benson Miller:2124
Dell Yount:4801
Ryan Kruger:629
Ed Quinn:5511
Maximilian Dirr:1058
Brian Bosworth:789
Dequina Moore:2821
Claudia Lapacó:5980
Frank Dillane:4210
Adrienne Frantz:5935
Paula Abdul:4251
Neil Flynn:2518
John Howard:1172
Jesse L. Martin:4522
David Eigenberg:4484
Bobby Campo:2931
Elena Anaya:2662
Victor Webster:2539
Tempestt Bledsoe:5673
Benjamin A. Onyango:1783
Marcia Wallace:4305
David Barnes:6199
Anne Bancroft:2497
Frank McHugh:5527
Jamie Renée Smith:135
Breckin Meyer:5639
James Patrick Stuart:4765
Adam LeFevre:1867
Samantha Morton:1059
Shenae Grimes-Beech:4515
Christopher Heyerdahl:1052
M.C. Gainey:2122
Fann Wong:409
Xinhua Jiang:4056
Ben Crompton:2776
Ricky Martin:5387
Jason Lewis:2639
Curt Doussett:6030
Owen Teale:4322
Mason Lee:2220
Gloria Foster:3978
Katie Leclerc:5506
Denise Boutte:3765
Jossara Jinaro:1622
Christina Milian:427
Jay Leno:4287
Emma Stone:16
Taliesin Jaffe:2061
Tim Choate:5859
Paul McGillion:1687
Tao Okamoto:2163
Stephen Amell:136
William Sanderson:3374
Marley Shelton:612
William McNamara:859
Thelma Ritter:5560
Jeremy Owen:4513
D.B. Woodside:555
Tim Russ:3389
Ayush Mahesh Khedekar:5057
Robert Ri'chard:592
Tony Ganios:5546
Nicholas Turturro:3115
Kimberly J. Brown:1954
Michael Bolten:3543
Mélanie Doutey:5413
Nicholas Aaron:1651
Paul T. Taylor:5713
Leslie Carlson:3330
Kevin Chamberlin:2644
George Raft:5678
Wendy Raquel Robinson:2414
Brooke Smith:2278
Erin Daniels:5344
Troy Garity:4532
David Zayas:1191
Mary Kay Place:4147
