:113
Stuart Gillard:891
Tobe Hooper:624
Peter Kassovitz:1138
Rich Cowan:2024
Shane Meadows:1594
André Téchiné:1413
Tony Bancroft:203
John Gulager:1782
George Cukor:1025
Walter Salles:385
Stefen Fangmeier:173
Jeff Kanew:1004
Collin Schiffli:1592
Catherine Owens:1117
Francis Lawrence:70
Paul Haggis:721
Henry Hathaway:2033
Werner Herzog:845
Rowan Joffe:887
Lee Tamahori:98
Gary McKendry:304
Mark Tarlov:1558
Sol Tryon:2212
Ruben Fleischer:369
John Putch:1344
Michael Kang:2280
Jeffrey W. Byrd:841
Laurence Dunmore:884
Miguel Sapochnik:675
Rupert Wainwright:671
Richard E. Grant:1516
John Erick Dowdle:1234
Brian Yuzna:1924
Kevin Smith:609
George Nolfi:434
Vicky Jewson:1660
Jeta Amata:1487
Carol Reed:1306
Jennifer Wynne Farmer:2166
Bruce McCulloch:830
Kirk Jones:606
Shari Springer Berman:1513
Ken Shapiro:1444
Bille Woodruff:803
Scott Dow:1944
Nicholas Fackler:1650
Anthony Bell:927
Catherine Hardwicke:534
Joseph Zito:1319
Jamin Winans:2286
Christopher Barnard:162
Jay Duplass:1342
Gene Teigland:2178
Peter Ramsey:101
Anna Mastro:2174
James David Pasternak:2041
John G. Avildsen:543
Jonathan Dayton:1438
Dagur Kári:1746
Tommy Wirkola:450
Gary David Goldberg:623
Joe Pytka:244
Preston A. Whitmore II:1193
Brett Ratner:25
Regardt van den Bergh:2055
Boris Rodriguez:2025
Jesse Peretz:1613
Joe Wright:96
Serdar Akar:1435
Joseph Green:2356
Mickey Liddell:1621
Anne Fletcher:544
Warren Sheppard:2221
Danny Boyle:464
Sam Raimi:6
Dan Perri:1888
Benjamin Dickinson:2107
Hans Canosa:2227
Ralph Ziman:1929
Dario Argento:1408
Robert Stevenson:1541
Huck Botko:1914
Efram Potelle:2092
Steve Beck:917
Charles Adelman:1763
Zack Ward:1011
Michael Ritchie:628
Gilles Paquet-Brenner:1163
David Nixon:1804
Melvin Van Peebles:2320
Gary Trousdale:170
David Lynch:507
Aki Kaurismäki:1589
Tony Richardson:1481
Walt Becker:205
John Hillcoat:837
Eric Blakeney:1351
Arthur Hiller:1368
Sergey Bodrov:194
Quentin Tarantino:169
Chris Gorak:661
Sharron Miller:1499
Frank Oz:189
William Phillips:1385
Louis C.K.:1754
Patrick Gilles:2217
William Malone:578
Douglas McGrath:860
Todd Solondz:1686
Doug Lefler:319
Barbet Schroeder:466
Gerald Potterton:1393
Derrick Borte:1353
Kar-Wai Wong:594
Michael Herz:1891
Billy Wilder:1703
Nils Gaup:1425
Paul Tibbitt:294
Kurt Wimmer:722
Michael Roemer:2260
Jonathan Hensleigh:664
Ericson Core:182
John Maclean:1791
Lance McDaniel:2183
RZA:1126
Richard Lester:421
Aaron Schneider:1500
Peter Landesman:638
Kevin Tancharoen:998
Dany Boon:1074
Alexandre Aja:630
Steve Carver:1623
Gregory Hoblit:303
Bennett Miller:443
Andrew Haigh:2317
Daisy von Scherler Mayer:1201
Dan Mazer:1273
David Lam:1517
Scott Derrickson:245
Brad Silberling:180
Chris Robinson:1030
Jackie Earle Haley:1522
David R. Ellis:504
Lorene Scafaria:1332
Nicolae Constantin Tanase:2319
Sam Miller:1197
Deryck Broom:2032
Nicole Holofcener:1452
Marco Kreuzpaintner:1261
Peter Farrelly:1052
Joseph L. Mankiewicz:530
Rita Merson:1883
Phyllida Lloyd:425
Dan Ireland:1725
Jason Eisener:1805
Joel Gallen:1092
John Reinhardt:2347
Ronan Chapalain:1636
Hal Needham:1007
Corey Grant:1966
Andrew Leman:2365
Danny Provenzano:1921
Ed Gass-Donnelly:1707
Michel Hazanavicius:1053
David S. Ward:1275
Barbra Streisand:531
Asger Leth:542
Anand Tucker:982
Tom Walsh:974
Dave Carroll:2366
Sydney Pollack:207
Bob Spiers:811
Bobcat Goldthwait:1364
Jamie Travis:2145
Edgar Wright:229
Tim Boxell:1862
Iain Softley:386
Bob Giraldi:1913
Tamara Jenkins:1402
Lawrence Guterman:183
Warren P. Sonoda:1760
Bruno Barreto:2360
Phil Traill:1103
Will Gluck:329
Matt Maiellaro:2158
Frédéric Auburtin:747
Steven Zaillian:357
Michael Cohn:785
Babak Najafi:364
George Lucas:142
James Gunn:66
Jon Turteltaub:71
Tom Kalin:1677
Fabián Bielinsky:1987
Daniel Barber:1491
Troy Duffy:1451
Harald Reinl:1942
David Cross:2114
Hark Tsui:646
Jason Stone:1874
Steve McQueen:901
Alan Taylor:76
Charles S. Dutton:591
Noel Marshall:1042
Jake Paltrow:1154
Hugh Hudson:659
Bruce Hunt:730
Hoyt Yeatman:87
Michael O. Sajbel:947
Jeff Burr:2052
Henry Koster:1603
Jamie Babbit:2036
Dan Reed:2346
Christophe Ali:1670
Patrick Lussier:480
Vincent Paronnaud:1489
Katherine Brooks:2113
Tom Shadyac:51
Bonnie Hunt:855
Agustín Díaz Yanes:765
Gillian Robespierre:2078
Gordon Chan:541
Ethan Maniquis:1223
David Ray:2005
Jack Heller:2219
Rodrigo Cortés:1017
Danny Cannon:665
Michael Martin:1752
David Oelhoffen:1479
Jorge R. Gutiérrez:453
Joe Cornish:1214
Peter Howitt:505
Panos Cosmatos:2056
Jeff Nathanson:589
Andrei Tarkovsky:489
Ariel Vromen:681
K. King:2130
John Dahl:390
Jim Field Smith:924
