@relation data

@attribute att1 {Color,' Black and White'}
@attribute att2 numeric
@attribute att3 numeric
@attribute att4 numeric
@attribute att5 numeric
@attribute att6 {English,Mandarin,Aboriginal,Spanish,French,Filipino,Maya,Kazakh,Telugu,Cantonese,Japanese,Aramaic,Italian,Dutch,Dari,German,Mongolian,Thai,Bosnian,Korean,Hungarian,Hindi,Icelandic,Danish,Portuguese,Norwegian,Czech,Russian,None,Zulu,Hebrew,Dzongkha,Arabic,Vietnamese,Indonesian,Romanian,Persian,Swedish}
@attribute att7 {USA,UK,'New Zealand',Canada,Australia,Germany,China,'New Line',France,Japan,Spain,'Hong Kong','Czech Republic',Peru,'South Korea',India,Aruba,Denmark,Belgium,Ireland,'South Africa',Italy,Romania,Chile,Netherlands,Hungary,Russia,Mexico,Greece,Taiwan,'Official site',Thailand,Iran,'West Germany',Georgia,Iceland,Brazil,Finland,Norway,Argentina,Colombia,Poland,Israel,Indonesia,Afghanistan,Sweden,Philippines}
@attribute att8 {PG-13,PG,G,R,Approved,NC-17,X,'Not Rated',Unrated,M,GP,Passed}
@attribute att9 numeric
@attribute att10 numeric
@attribute att11 numeric
@attribute att12 numeric

@data
Color,0,0,1726,495,English,USA,PG-13,4,4,4,1
Color,1,1,180,1023,English,USA,PG-13,4,4,4,0
Color,2,2,2098,4130,English,UK,PG-13,4,4,4,0
Color,3,3,34,58,English,USA,PG-13,4,4,4,1
Color,5,5,1059,2416,English,USA,PG-13,4,4,4,0
Color,6,6,182,396,English,USA,PG-13,4,4,4,1
Color,7,7,1696,2122,English,USA,PG,4,4,2,0
Color,8,8,21,59,English,USA,PG-13,4,4,4,1
Color,9,9,113,115,English,UK,PG,4,4,4,1
Color,10,10,1186,4131,English,USA,PG-13,4,4,4,1
Color,11,11,373,281,English,USA,PG-13,4,4,4,0
Color,12,12,1081,2098,English,UK,PG-13,4,4,2,0
Color,1,1,180,1023,English,USA,PG-13,4,4,4,1
Color,1,1,614,384,English,USA,PG-13,4,4,4,0
Color,10,10,264,727,English,USA,PG-13,4,4,4,1
Color,13,13,2100,1695,English,USA,PG,4,4,4,0
Color,8,8,21,59,English,USA,PG-13,4,4,4,1
Color,14,1,847,1054,English,USA,PG-13,4,4,4,0
Color,15,14,1319,4132,English,USA,PG-13,4,4,2,0
Color,16,15,2101,1371,English,'New Zealand',PG-13,4,4,4,0
Color,17,16,490,780,English,USA,PG-13,4,4,4,1
Color,18,17,1030,710,English,USA,PG-13,4,4,4,0
Color,16,15,2101,1371,English,USA,PG-13,4,4,4,1
Color,19,18,144,936,English,USA,PG-13,4,4,2,0
Color,16,19,1044,4133,English,'New Zealand',PG-13,4,4,4,0
Color,0,20,141,4134,English,USA,PG-13,4,4,4,1
Color,20,21,59,104,English,USA,PG-13,4,4,4,1
Color,21,22,788,955,English,USA,PG-13,4,4,4,0
Color,22,23,65,480,English,USA,PG-13,4,4,2,1
Color,2,24,2102,2098,English,UK,PG-13,4,4,4,1
Color,6,6,182,396,English,USA,PG-13,4,4,4,1
Color,23,21,211,202,English,USA,PG-13,4,4,4,1
Color,24,1,9,203,English,USA,PG,4,4,2,1
Color,25,25,945,4135,English,Canada,PG-13,4,4,2,1
Color,26,26,683,148,English,USA,G,4,4,2,1
Color,27,27,2103,2179,English,USA,PG-13,4,4,4,1
Color,27,28,389,945,English,USA,PG-13,4,4,4,1
Color,6,29,375,182,English,USA,PG,4,4,4,0
Color,17,16,490,4136,English,USA,PG-13,4,4,4,0
Color,28,30,351,1444,English,USA,PG,4,4,2,0
Color,29,31,1044,1053,English,USA,G,4,4,2,0
Color,30,32,2104,4137,English,USA,PG-13,4,4,2,0
Color,31,33,46,1100,English,USA,G,4,4,2,1
Color,32,34,23,1126,English,USA,PG-13,4,4,2,0
Color,33,35,74,127,English,USA,PG-13,4,4,4,1
Color,12,36,75,610,English,USA,PG-13,4,4,2,0
Color,11,37,13,25,English,USA,PG-13,4,4,4,1
Color,34,38,236,4138,English,USA,PG-13,4,4,4,1
Color,11,39,2105,4139,English,USA,PG-13,4,4,2,0
Color,35,20,2106,4019,English,Australia,PG-13,4,4,4,1
Color,36,40,1146,3475,English,USA,PG-13,4,4,2,0
Color,37,41,360,2287,English,USA,PG-13,4,4,4,0
Color,27,27,2107,2103,English,USA,PG-13,4,4,4,1
Color,38,42,167,51,English,USA,PG-13,4,4,2,1
Color,40,44,46,385,English,USA,PG,4,4,2,1
Color,41,45,2109,4141,English,USA,PG-13,4,4,2,0
Color,5,46,1418,3715,English,USA,G,4,4,2,1
Color,25,47,2110,2775,English,USA,PG-13,4,4,2,0
Color,42,48,2111,4142,English,USA,PG-13,4,4,4,0
Color,43,49,298,61,English,USA,PG,4,4,2,0
Color,44,50,375,386,English,USA,PG-13,4,4,2,0
Color,9,2,788,4143,English,USA,PG-13,4,4,2,0
Color,13,51,2112,2126,English,USA,PG,4,4,4,1
Color,11,37,125,2557,English,USA,PG-13,4,4,4,0
Color,3,34,140,130,English,USA,PG-13,4,4,4,1
Color,45,46,304,2905,English,USA,PG,4,4,2,1
Color,46,52,674,1657,English,USA,PG,4,4,2,1
Color,47,21,30,211,English,USA,PG-13,4,4,2,1
Color,48,53,18,167,English,USA,PG,4,4,2,0
Color,15,14,111,262,English,USA,PG-13,4,4,2,0
Color,49,54,240,1882,English,USA,PG-13,4,4,2,0
Color,50,14,2113,2537,English,USA,PG-13,4,4,2,0
Color,51,55,130,252,English,USA,PG,4,4,2,0
Color,52,56,2114,1246,English,USA,PG-13,4,4,2,0
Color,53,57,2115,4144,English,USA,PG-13,4,3,4,0
Color,54,58,184,2806,English,USA,PG-13,4,4,2,0
Color,45,52,2116,4145,English,USA,PG,4,4,2,1
Color,47,59,192,3177,English,UK,PG,4,4,2,1
Color,47,21,59,211,English,USA,PG-13,4,4,2,1
Color,55,8,224,847,English,USA,PG-13,4,4,4,0
Color,56,60,644,1169,English,USA,PG,4,4,2,1
Color,57,61,65,2318,English,USA,PG-13,4,4,4,1
Color,59,63,154,4146,English,USA,PG-13,4,4,2,0
Color,20,59,104,177,English,USA,PG-13,4,4,4,1
Color,60,64,2118,4147,English,USA,PG,4,4,2,1
Color,61,65,2119,4148,English,USA,PG,4,4,4,0
Color,62,66,2120,2288,English,USA,PG,4,4,2,1
Color,63,67,554,696,English,USA,PG,4,4,2,1
Color,43,33,2121,4149,English,USA,G,4,4,2,0
Color,42,68,863,4150,English,USA,PG-13,4,4,2,0
Color,64,69,721,671,English,USA,PG,4,4,2,1
Color,65,70,2122,4151,English,USA,R,4,4,2,0
Color,66,71,127,153,English,USA,PG-13,4,4,2,1
Color,3,72,203,843,English,USA,PG-13,4,4,4,1
Color,3,20,3,58,English,USA,PG-13,4,4,4,1
Color,16,15,2101,1371,English,USA,PG-13,4,4,4,1
Color,49,74,127,1019,English,USA,PG-13,3,4,2,1
Color,68,75,251,261,English,USA,PG-13,4,4,4,0
Color,69,37,125,48,English,USA,PG-13,4,4,4,0
Color,70,37,93,162,English,USA,PG-13,4,4,4,1
Color,71,76,2124,4153,English,USA,PG,4,4,2,0
Color,72,55,746,2146,English,USA,PG-13,4,4,2,0
Color,73,1,9,203,English,USA,PG,4,4,2,0
Color,74,77,376,272,English,USA,PG,4,4,2,1
Color,75,78,635,4154,English,USA,PG-13,4,4,2,0
Color,76,6,2125,713,English,USA,PG-13,4,4,2,0
